0,not_nan,not_nan,1,Fructose_bisphosphate_aldolase,AguA1_agmatine_deiminase,Alcohol_dehydrogenase_2,Mannitol_dehydrogenase,Alcohol_dehydrogenase_1,Phosphofructokinase ,Glycerol_dehydratase_small_subunit_PduE,Glycerol_dehydratase_medium_subunit_PduD,Transaldolase,Galactose_1_phosphate_uridyltransferase,Mannitol_phosphate_dehydrogenase,UDP_galactose_4_epimerase,Pyruvate_formate_lyase,Phosphoketolase,Ornithine_decarboxylase,Galactose_6_phosphate_isomerase,Transketolase,Lactaldehyde_dehydrogenase,Dextransucrase,Devansucrase
43,ASM1414545,Limosilactobacillus rudii,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1
44,ASM17945,Limosilactobacillus reuteri subsp. murium,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1
45,ASM1414561,Limosilactobacillus balticus,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1
46,ASM16825,Limosilactobacillus reuteri subsp. rodentium,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1
47,AZDD00000000,Limosilactobacillus reuteri,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0
48,JGI2599185333,Limosilactobacillus reuteri subsp. porcinus,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1
49,AZGM00000000,Limosilactobacillus panis,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1
50,ASM1414544,Limosilactobacillus reuteri subsp. kinnaridis,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1
51,ASM23645,Limosilactobacillus reuteri subsp. suis,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1
52,OEPY00000000,Limosilactobacillus not validly described,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0
53,AYYL00000000,Ligilactobacillus ruminis,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0
54,AZDK00000000,Limosilactobacillus antri,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0
55,AYZA00000000,Ligilactobacillus aviarius,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1
56,AYYZ00000000,Ligilactobacillus araffinosus,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0
57,AZGD00000000,Ligilactobacillus hayakitensis,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1
58,AZFT00000000,Ligilactobacillus apodemi,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1
59,AYYN00000000,Ligilactobacillus murinus,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0
60,AYYW00000000,Ligilactobacillus animalis,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0
61,AYYT00000000,Ligilactobacillus salivarius,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0
62,JXJQ00000000,Bombilactobacillus mellifer,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0
63,JQBZ00000000,Ligilactobacillus ceti,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
64,AZFP00000000,Ligilactobacillus saerimneri,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
65,AYYX00000000,Liquorilactobacillus vini,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0
66,JXBZ00000000,Bombilactobacillus mellis,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0
67,AZGB00000000,Liquorilactobacillus ghanensis,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
68,AYYP00000000,Ligilactobacillus agilis,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0
69,AZFH00000000,Ligilactobacillus equi,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1
70,AZEV00000000,Liquorilactobacillus nagelii,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
71,AYZE00000000,Liquorilactobacillus cacaonum,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0
72,BFFP01000000,Ligilactobacillus salitolerans,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0
73,JQCF00000000,Companilactobacillus kimchiensis,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0
74,JQCN00000000,Ligilactobacillus pobuzihii,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0
75,JQBR00000000,Pediococcus cellicola ,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1
76,JQCQ00000000,Pediococcus argentinicus ,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1
77,NIPR00000000,Companilactobacillus nuruki,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0
78,AZDO00000000,Companilactobacillus futsaii,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0
79,AYZK00000000,Lacticaseibacillus thailandensis,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0
80,AZFQ00000000,Liquorilactobacillus satsumensis,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0
81,JQBD00000000,Pediococcus damnosus ,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1
82,AZDX00000000,Liquorilactobacillus hordei,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0
83,AZEH00000000,Liquorilactobacillus oeni,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0
84,CP019323,Companilactobacillus allii,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0
85,CP012559,Companilactobacillus heilongjiangensis,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0
86,AZFA00000000,Companilactobacillus versmoldensis,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0
87,RHNT00000000,Companilactobacillus furfuricola,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0
88,JQBY00000000,Pediococcus ethanolidurans ,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0
89,RHOO00000000,Companilactobacillus hulinensis,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0
90,QWDI00000000,Companilactobacillus formosensis,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0
91,AZFI00000000,Ligilactobacillus acidipiscis,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0
92,BJDF00000000,Companilactobacillus huachuanensis ,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0
93,RHOS00000000,Companilactobacillus keshanensis,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0
94,AZDR00000000,Companilactobacillus farciminis,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0
95,RHOP00000000,Companilactobacillus jidongensis,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0
96,AZFV00000000,Companilactobacillus nantensis,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0
97,RSTD00000000,Companilactobacillus metriopterae,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0
98,BJWE00000000,Pediococcus parvulus ,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0
99,RHOI00000000,Lacticaseibacillus baoqingensis,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0
100,RHOG00000000,Lacticaseibacillus yichunensis,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
101,AZEF00000000,Liquorilactobacillus capillatus,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
102,AZDZ00000000,Companilactobacillus nodensis,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0
103,AYZF00000000,Liquorilactobacillus sucicola,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
104,RHOK00000000,Lacticaseibacillus suibinensis,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0
105,BIFW00000000,Companilactobacillus musae,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0
106,AZDB00000000,Companilactobacillus crustorum,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0
107,RHOR00000000,Companilactobacillus kedongensis,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0
108,AYZD00000000,Liquorilactobacillus aquaticus,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0
109,AZFJ00000000,Lacticaseibacillus pantheris,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0
110,CP031933,Companilactobacillus zhachilii,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0
111,RHNS00000000,Lacticaseibacillus porcinae,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0
112,CP012034,Companilactobacillus ginsenosidimutans,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0
113,CP049366,Companilactobacillus pabuli,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0
114,RHOJ00000000,Lacticaseibacillus jixianensis,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1
115,AYYH00000000,Liquorilactobacillus mali,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0
116,RHOM00000000,Companilactobacillus zhongbaensis,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0
117,JQBC00000000,Pediococcus inopinatus ,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0
118,AZEU00000000,Lacticaseibacillus manihotivorans,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0
119,AZDJ00000000,Lacticaseibacillus nasuensis,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0
120,VDFP00000000,Companilactobacillus halodurans,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0
121,RKLY00000000,Companilactobacillus suantsaicola,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0
122,AZEO00000000,Lactiplantibacillus paraplantarum,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1
123,AYZB00000000,Latilactobacillus graminis,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0
124,AZEG00000000,Liquorilactobacillus uvarum,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
125,AZEZ00000000,Companilactobacillus mindensis,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0
126,RHOQ00000000,Companilactobacillus baiquanensis,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0
127,JQCL00000000,Lactiplantibacillus xiangfangensis,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0
128,AZDQ00000000,Companilactobacillus alimentarius,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0
129,AZFR01000007,Lactiplantibacillus argentoratensis,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0
130,AZEJ00000000,Lactiplantibacillus plantarum ,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1
131,RHOW00000000,Lapidilactobacillus mulanensis,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
132,AYYK00000000,Lapidilactobacillus dextrinicus,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0
133,VDFN00000000,Companilactobacillus salsicarnum,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0
134,RHON00000000,Companilactobacillus mishanensis,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0
135,AYZJ00000000,Lacticaseibacillus camelliae,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
136,AZFX00000000,Lapidilactobacillus concavus,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0
137,BJEA00000000,Lactiplantibacillus modestisalitolerans,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0
138,BJDZ00000000,Lactiplantibacillus plajomi,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0
139,RHOL00000000,Lacticaseibacillus hegangensis,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
140,AZDY00000000,Companilactobacillus bobalius,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0
141,AZDH00000000,Companilactobacillus kimchii,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0
142,AZEX00000000,Latilactobacillus fuchuensis,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0
143,AYGX00000000,Lactiplantibacillus fabifermentans,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0
144,RHNU00000000,Companilactobacillus insicii,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0
145,BJDL00000000,Lactiplantibacillus songbeiensis,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1
146,BJDI00000000,Lactiplantibacillus nangangensis,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1
147,JQCC00000000,Pediococcus lolii ,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0
148,RHOX00000000,Lapidilactobacillus bayanensis,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
149,AZCU00000000,Lactiplantibacillus pentosus,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1
150,BJDK00000000,Lactiplantibacillus dongliensis,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1
151,AZDL00000000,Latilactobacillus curvatus,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
152,AZES00000000,Companilactobacillus paralimentarius,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0
153,JQAQ00000000,Pediococcus acidilactici ,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0
154,BJDH00000000,Lactiplantibacillus daoliensis,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1
155,BJDG00000000,Lactiplantibacillus pingfangensis,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1
156,JQBB00000000,Pediococcus claussenii ,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
157,BJDJ00000000,Lactiplantibacillus daowaiensis,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0
158,RHNR00000000,Lacticaseibacillus songhuajiangensis,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1
159,RRYD00000000,Lacticaseibacillus hulanensis,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
160,AYYO00000000,Lacticaseibacillus sharpeae,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0
161,JQBX00000000,Pediococcus stilesii ,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0
162,AZDA00000000,Loigolactobacillus bifermentans,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0
163,QWZQ00000000,Lactiplantibacillus garii,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1
164,BJDY01000000,Lactiplantibacillus mudanjiangensis,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0
165,AZFG00000000,Latilactobacillus sakei carnosus,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
166,AZDN00000000,Latilactobacillus sakei sakei,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
167,BLBG00000000,Lacticaseibacillus zhaodongensis,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0
168,RHNQ00000000,Loigolactobacillus backii,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1
169,RHNP00000000,Loigolactobacillus iwatensis,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0
170,AYYS00000000,Amylolactobacillus amylophilus,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0
171,RHOH00000000,Lacticaseibacillus daqingensis,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0
172,LFEE00000000,Lactiplantibacillus herbarum,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1
173,RHOE00000000,Loigolactobacillus zhaoyuanensis,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0
174,AYYI00000000,Loigolactobacillus rennini,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0
175,RHOU00000000,Lapidilactobacillus wuchangensis,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0
176,JQAZ00000000,Paralactobacillus selangorensis,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0
177,RHOT00000000,Lapidilactobacillus gannanensis,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0
178,RHOV00000000,Lapidilactobacillus achengensis,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0
179,JQBF00000000,Pediococcus pentosaceus ,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0
180,AZDI00000000,Dellaglioa algida,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
181,RHOF00000000,Loigolactobacillus jiayinensis,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
182,AZDC00000000,Loigolactobacillus coryniformis torquens,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1
183,AZCN00000000,Loigolactobacillus coryniformis coryniformis,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
184,JABEKX000000000,Lacticaseibacillus absianus,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0
185,BJDN00000000,Loigolactobacillus binensis ,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0
186,AYZL00000000,Holzapfelia floricola,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
187,AYZQ00000000,Lacticaseibacillus brantae,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0
188,AZGH00000000,Lacticaseibacillus paracasei paracasei,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0
189,AYYJ00000000,Lacticaseibacillus paracasei tolerans,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0
190,AZCQ00000000,Lacticaseibacillus rhamnosus,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0
191,MSSM00000000,Lacticaseibacillus chiayiensis,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0
192,AZCT00000000,Lacticaseibacillus zeae,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0
193,BALS00000000,Lacticaseibacillus casei,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0
194,JQCE00000000,Lacticaseibacillus saniviri,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0
195,RHOY00000000,Agrilactobacillus yilanensis,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0
196,AZGA00000000,Agrilactobacillus composti,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0
197,JQBG01000000,Carnobacterium maltaromaticum,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0
198,CP060724,Weissella diestrammenae ,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
199,AEMI00000000,Leuconostoc gelidum gelidum,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1
200,FN822744,Leuconostoc gelidum gasicomitatum,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1
